Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
SeuratV3Wizard,R,,,'-,https://github.com/nasqar/seuratv3wizard,"R Shiny interface for Seurat v3 single-cell analysis library",GPL-3.0,"Clustering, Dimensionality Reduction, Interactive, Marker Genes, Normalisation, Quality Control, Variable Genes"
SeuratWizard,R,,,'-,https://github.com/nasqar/SeuratWizard,"R Shiny interface for Seurat single-cell analysis library",GPL-3.0,"Clustering, Dimensionality Reduction, Interactive, Marker Genes, Normalisation, Quality Control, Variable Genes"
sfaira,Python,,,'-,https://github.com/theislab/sfaira,"sfaira is a model and a data repository in a single python package",BSD-3-Clause,"Classification, Dimensionality Reduction"
ShareNet,Python,10.1093/bioinformatics/btab269,2021-07-12,1,https://github.com/alexw16/sharenet,"ShareNet is a Bayesian framework for boosting the accuracy of cell type-specific gene regulatory associations that can be used with a wide range of general network inference algorithms",MIT,"Gene Networks, Rare Cells"
SHARP,R,"10.1101/461640, 10.1101/gr.254557.119","NA, 2020-01-28",52,https://github.com/shibiaowan/SHARP,"Single-cell RNA-seq Hyper-fast and Accurate processing via ensemble Random Projection",GPL-3.0,"Clustering, Dimensionality Reduction, Gene Filtering, Marker Genes, Normalisation, Visualisation"
Sharq,Python/Perl/R,10.1101/250811,NA,8,https://bitbucket.org/princessmaximacenter/Sharq,"A versatile preprocessing pipeline designed to work with plate-based 3'-end protocols that include Unique Molecular Identifiers (UMIs)",'-,"Alignment, Quality Control, Quantification, UMIs, Visualisation"
ShinyCell,R,"10.1093/bioinformatics/btab209, 10.1101/2020.10.25.354100","2021-03-28, NA",60,https://github.com/SGDDNB/ShinyCell,"ShinyCell is a R package that allows users to create interactive Shiny-based web applications to visualise single-cell data",GPL-3.0,"Interactive, Visualisation"
ShinyMultiome-UiO,R,10.1101/2023.06.20.545756,NA,0,https://github.com/EskelandLab/ShinyMultiomeUiO,"An interactive open-source framework utilizing Seurat Objects for visualizing single-cell Multiomes",GPL-3.0,"Interactive, Visualisation"
SiCeLoRe,Java,"10.1038/s41467-020-17800-6, 10.1101/831495","2020-08-12, NA",106,https://github.com/ucagenomix/sicelore,"SiCeLoRe (Single Cell Long Read) is a suite of tools dedicated to cell barcode / UMI assignment and bioinformatics analysis of highly multiplexed single cell Nanopore long read sequencing data.",MIT,"Allele Specific, Alternative Splicing, UMIs, Variants"
SICILIAN,Python/R,"10.1101/2020.04.14.041905, 10.1186/s13059-021-02434-8","NA, 2021-08-05",16,https://github.com/salzmanlab/SICILIAN,"Specific splice junction detection in single cells with SICILIAN (SIngle Cell precIse spLice estImAtioN)",GPL-2.0,Alignment
SiCR,R,10.1101/2023.08.03.551897,NA,0,https://github.com/Masakazu-Ishikawa137/SiCR,"A web application specialized for single cell repertoire analysis",'-,"Immune, Interactive"
Sierra,R,"10.1101/867309, 10.1186/s13059-020-02071-7","NA, 2020-07-08",58,https://github.com/VCCRI/Sierra,"Sierra is an R package designed for detecting differential transcript usage analysis from polyA-enriched single cell RNASeq data.",GPL-3.0,"Alternative Splicing, Visualisation"
SIEVE,R,10.1097/BS9.0000000000000072,2021-04,1,https://github.com/YinanZhang522/SIEVE,"SIEVE is a strategy used for select highly Variable genes from single-cell RNA Seq data, based on random sampling for all single cells in a scRNA-seq dataset",'-,"Variable Genes"
SiFINeT,R/C++,10.1101/2023.05.24.541352,NA,0,https://github.com/jichunxie/SifiNet,"A cluster-independent feature gene sets detection method based on topology structure of gene coexpression network.",GPL-3.0,"Variable Genes"
SiFT,Python,10.1101/2023.01.18.524512,NA,0,https://github.com/nitzanlab/sift-sc,"Signal FilTering is a tool for uncovering hidden biological processes in single-cell data",BSD-3-Clause,"Dimensionality Reduction, Integration, Visualisation"
SigEMD,R,10.1016/j.ymeth.2018.04.017,2018-08,34,https://github.com/NabaviLab/SigEMD,"SigEMD is a novel method to identify differentially expressed genes in single cell RNA sequencing data.",'-,"Differential Expression, Imputation, Visualisation"
sigGCN,Python,"10.1101/2021.06.13.448259, 10.1186/s12859-021-04278-2","NA, 2021-07-08",18,https://github.com/NabaviLab/sigGCN,"Cell classification that combines a graph convolutional network (GCN) and a neural network to exploit gene interaction networks",'-,"Classification, Gene Networks"
SigHotSpotter,R,10.1093/bioinformatics/btz827,2019-11-07,7,https://gitlab.com/srikanth.ravichandran/sighotspotter,"A computational tool to predict hotspots of signaling pathways responsible for the stable maintenance of cell subpopulation phenotypes, by integrating signaling and transcriptional networks.",AGPL-3.0,"Gene Networks, Gene Sets, Interactive, Visualisation"
SIGMA,R,10.1101/2021.05.11.443685,NA,0,https://github.com/Siliegia/SIGMA,"A package to calculate clusterability in clusters of scRNA-seq data",GPL-3.0,"Clustering, Visualisation"
signac,R/C++,10.1101/2020.11.16.384479,NA,5,https://github.com/bioturing/signac,"A versatile R package to facilitate the analysis workflow for single-cell data",Custom,"Differential Expression, Expression Patterns, Marker Genes"
SignacX,R,10.1101/2021.02.01.429207,NA,4,https://github.com/mathewchamberlain/SignacX,"Signac helps solve the cell type classification problem in single cell RNA sequencing",GPL-3.0,"Classification, Immune, Marker Genes"
signifinder,R,10.1101/2023.03.07.530940,NA,0,https://github.com/CaluraLab/signifinder,"signifinder is an R package that collects and implements 46 expression-based signatures from cancer literature",AGPL-3.0,"Cell Cycle, Gene Sets, Immune, Visualisation"
SILGGM,R,10.1371/journal.pcbi.1006369,2018-08-13,29,https://github.com/cran/SILGGM,"Provides a general framework to perform statistical inference of each gene pair and global inference of whole-scale gene pairs in gene networks using the well known Gaussian graphical model (GGM) in a time-efficient manner.",GPL-2.0-or-later,"Gene Networks"
SIMBA,Python,10.1101/2021.10.17.464750,NA,8,https://github.com/pinellolab/simba,"SIngle-cell eMBedding Along with features",BSD-3-Clause,"Dimensionality Reduction, Gene Filtering, Normalisation, Quality Control, Variable Genes, Visualisation"
SimCD,R/C,arxiv/2104.01512,NA,0,https://github.com/namini94/SimCD,"Simultaneous Clustering and Differential (SimCD) is a unified Bayesian method based on a hierarchical gamma-negative binomial (hGNB) model, to simultaneously perform clustering and differential expression analysis for single-cell RNA-seq data",'-,"Clustering, Differential Expression"
SimiC,Python,"10.1038/s42003-022-03319-7, 10.1101/2020.04.03.023002","2022-04-12, NA",5,https://github.com/jianhao2016/simicLASSO_git,"SimiC models the GRN inference problem as a LASSO optimization problem with an added similarity constraint",'-,"Gene Networks"
SIMLR,R/MATLAB/Python/C++,"10.1002/pmic.201700232, 10.1038/nmeth.4207, 10.1101/052225, 10.1101/118901","2018-01-24, 2017-03-06, NA, NA",580,https://github.com/BatzoglouLabSU/SIMLR,"Single-cell Interpretation via Multi-kernel LeaRning which learns an appropriate distance metric from the data for dimension reduction, clustering and visualization.",GPL-3.0,"Clustering, Dimensionality Reduction, Visualisation"
simpleaf,Rust,10.1101/2023.03.28.534653,NA,0,https://github.com/COMBINE-lab/simpleaf,"simpleaf is a rust framework to make using alevin-fry even simpler",BSD-3-Clause,Quantification
SIMPLEs,R,"10.1093/nargab/lqaa077, 10.1101/2020.01.13.904649","2020-09-28, NA",5,https://github.com/JunLiuLab/SIMPLEs,"SIMPLEs: single-cell RNA sequencing imputation and cell clustering methods by modeling gene module variation",MIT,Imputation
SIMS,Python,10.1101/2023.02.28.529615,NA,0,https://github.com/jlehrer1/sims,"SIMS is a pipeline for building interpretable and accurate classifiers for intentifying any target on single-cell rna-seq data",MIT,Classification
simspec,R,"10.1101/2020.02.27.968560, 10.1186/s13059-020-02147-4","NA, 2020-09-01",27,https://github.com/quadbiolab/simspec,"Implements Cluster Similarity Spectrum (CSS) integration where each cell is represented by its similarities to clusters independently identified across samples",'-,"Classification, Clustering, Dimensionality Reduction, Integration"
SINC,Python,10.1093/bioinformatics/btz801,2019-10-24,2,,"SINC: a scale-invariant deep-neural-network classifier for bulk and single-cell RNA-seq data",'-,"Classification, Variable Genes"
Sincast,R/C++,"10.1093/bib/bbac088, 10.1101/2021.11.07.467660","2022-03-31, NA",4,https://github.com/meiosis97/Sincast,"Sincast is a computational framework to query scRNA-seq data based on bulk reference atlases",'-,"Classification, Visualisation"
sincell,R,"10.1093/bioinformatics/btv368, 10.1101/014472","2015-06-22, NA",51,,"Existing computational approaches for the assessment of cell-state hierarchies from single-cell data might be formalized under a general workflow composed of i) a metric to assess cell-to-cell similarities (combined or not with a dimensionality reduction step), and ii) a graph-building algorithm (optionally making use of a cells-clustering step). Sincell R package implements a methodological toolbox allowing flexible workflows under such framework.",GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Ordering, Visualisation"
SINCERA,R,"10.1007/978-1-4939-7710-9_15, 10.1371/journal.pcbi.1004575","2018-03-06, 2015-11-24",289,https://github.com/xu-lab/SINCERA,"R-based pipeline for single-cell analysis including clustering and visualization.",GPL-3.0,"Clustering, Differential Expression, Gene Filtering, Marker Genes, Normalisation, Quality Control"
SINCERITIES,MATLAB/R,"10.1093/bioinformatics/btx575, 10.1101/089110","2017-09-14, NA",122,https://github.com/CABSEL/SINCERITIES,"SINCERITIES is a tool for inferring gene regulatory networks from time-stamped cross-sectional single cell transcriptional expression profiles.",BSD-3-Clause,"Gene Networks"
SinCHet,MATLAB,10.1093/bioinformatics/btx297,2017-05-04,10,http://labpages2.moffitt.org/chen/software,"a MATLAB GUI toolbox for Single Cell Heterogeneity analysis in cancer",'-,"Clustering, Interactive, Visualisation"
SingCellaR,R/C++,10.1016/j.xpro.2022.101266,2022-06,4,https://github.com/supatt-lab/SingCellaR,"An integrative analysis tool for analysing single-cell RNA sequencing data",GPL-3.0,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Sets, Integration, Marker Genes, Quality Control, Visualisation"
SINGE,MATLAB,"10.1016/j.celrep.2022.110333, 10.1101/534834","2022-02, NA",52,https://github.com/gitter-lab/SINGE,"SINGE (Single-cell Inference of Networks using Granger Ensembles) reconstructs gene regulatory networks from pseudotime-annotated scRNA-seq data",MIT,"Gene Networks"
SingleCellExplorer,Python,10.1186/s12864-019-6053-y,2019-08-27,17,https://github.com/d-feng/scExplorer,"Single Cell Explorer is a Python-based web server application for computational and experimental scientists to iteratively and collaboratively annotate cell expression phenotypes within a user-friendly and visually appealing platform.",LGPL-3.0,"Interactive, Visualisation"
SingleCellGGM,MATLAB,10.1101/2023.02.05.526424,NA,0,https://github.com/MaShisongLab/SingleCellGGM,"SingleCellGGM (single-cell graphical Gaussian model) is a MATLAB algorithm for single-cell gene co-expression network analysis based on the graphical Gaussian model (GGM)",BSD-3-Clause,"Gene Networks"
singleCellHaystack,R,"10.1038/s41467-020-17900-3, 10.1038/s41598-023-38965-2, 10.1101/2022.11.13.516355, 10.1101/557967","2020-08-28, 2023-07-22, NA, NA",38,https://github.com/alexisvdb/singleCellHaystack,"singleCellHaystack is a package for finding surprising needles (=genes) in haystacks (=multi-dimensional representations of single cell transcriptome data)",MIT,"Differential Expression, Marker Genes, Visualisation"
singleCellHaystack-py,Python,10.1038/s41598-023-38965-2,2023-07-22,0,https://github.com/ddiez/singleCellHaystack-py,"A Python implementation of singleCellHaystack",MIT,"Marker Genes, Visualisation"
SingleCellNet,R,"10.1016/j.cels.2019.06.004, 10.1101/508085","2019-08, NA",200,https://github.com/pcahan1/singleCellNet,"SingleCellNet enables the classifcation of single cell RNA-Seq data across species and platforms",MIT,"Classification, Visualisation"
SingleCellSignalR,R,"10.1093/nar/gkaa183, 10.1101/2019.12.11.872895","2020-03-20, NA",213,https://github.com/SCA-IRCM/SingleCellSignalR,"Allows single cell RNA seq data analysis, clustering, creates internal network and infers cell-cell interactions.",GPL-3.0,"Classification, Clustering, Gene Networks, Marker Genes, Normalisation, Visualisation"
SingleCellSignatureExplorer,GO/R,"10.1093/nar/gkz601, 10.1101/621805","2019-07-11, NA",86,https://sites.google.com/site/fredsoftwares/products/single-cell-signature-explorer,"Single-Cell Signature Explorer is a package of four software tools dedicated to high throughput signature exploration in single-cell RNA-seq analysis.",'-,"Gene Sets, Visualisation"
singleCellTK,R,"10.1038/s41467-022-29212-9, 10.1101/2020.11.16.385328, 10.1101/2022.07.13.499900, 10.1101/329755, 10.2139/ssrn.4174578","2022-03-30, NA, NA, NA, 2022",22,https://github.com/compbiomed/singleCellTK,"Interactive Analysis of Single Cell RNA-Seq Data",MIT,"Alignment, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Sets, Interactive, Marker Genes, Normalisation, Quality Control, Quantification, Visualisation"
SinglePointRNA,R,arxiv/2305.00008,NA,0,https://github.com/ScienceParkMadrid/SinglePointRNA,"SinglePoint RNA is a shiny-based R application that provides a graphic interface for different publicly available tools to analyze single cell RNA-seq data",GPL-3.0,"Clustering, Differential Expression, Integration, Interactive, Quality Control, Visualisation"
SingleR,R,"10.1038/s41590-018-0276-y, 10.1101/284604","2019-01-14, NA",1840,https://github.com/dviraran/SingleR,"SingleR leverages reference transcriptomic datasets of pure cell types to infer the cell of origin of each of the single cells independently",GPL-3.0,"Classification, Visualisation"
singleseqgset,R,10.1016/j.immuni.2019.11.014,2020-01,323,https://github.com/arc85/singleseqgset,"singleseqgset is a package for gene set enrichment analysis for single-cell RNAseq data",CC0-1.0,"Gene Sets"
SingleSplice,R/Perl/C++,10.1093/nar/gkv1525,2016-01-05,51,https://github.com/jw156605/SingleSplice,"Algorithm for detecting alternative splicing in a population of single cells.",GPL-2.0,"Alternative Splicing"
singlet,Python,,,'-,https://github.com/iosonofabio/singlet,"Single cell RNA-Seq analysis with quantitative phenotypes.",MIT,"Clustering, Dimensionality Reduction, Gene Filtering, Normalisation, Visualisation"
SinNLRR,MATLAB,10.1093/bioinformatics/btz139,2019-03-01,93,https://github.com/zrq0123/SinNLRR,"SinNLRR: a robust subspace clustering method for cell type detection by nonnegative and low rank representation",'-,"Clustering, Dimensionality Reduction, Normalisation"
SinQC,R/Python,10.1093/bioinformatics/btw176,2016-04-10,40,http://www.morgridge.net/SinQC.html,"A Method and Tool to Control Single-cell RNA-seq Data Quality.",'-,"Quality Control"
Sinto,Python,,,'-,https://github.com/timoast/sinto,"Sinto is a toolkit for processing aligned single-cell data",MIT,UMIs
SIP,Python/R,10.1101/456772,NA,0,https://github.com/XuegongLab/SIP,"SIP is a single-cell data processing pipeline whose components are interchangeable.",GPL-3.0,Alignment
SiPSiC,R,10.1101/2023.03.27.534310,NA,0,https://github.com/DanielDavis12/SiPSiC,"The Single Pathway analysis in Single Cells (SiPSiC) package is used to infer biological pathway activity of the individual cells included in a single-cell RNA-seq dataset",'-,"Gene Sets"
sircel,Python,"10.1101/136242, 10.1186/s12859-019-2612-0","NA, 2019-01-17",18,https://github.com/pachterlab/Sircel,"Identify cell barcodes from single-cell genomics sequencing experiments",MIT,"Quantification, UMIs"
SISUA,Python,10.1089/cmb.2019.0337,2020-08-01,11,https://github.com/trungnt13/sisua,"SemI-SUpervised generative Autoencoder (SISUA)",MIT,"Dimensionality Reduction"
siVAE,Python,"10.1101/2021.09.15.460498, 10.1186/s13059-023-02850-y","NA, 2023-02-20",6,https://github.com/quon-titative-biology/siVAE,"siVAE is an extension of traditional VAE that learns feature embeddings that guide the interpretation of the sample embeddings, in a manner analogous to factor loadings of factor analysis/PCA",MIT,"Dimensionality Reduction, Gene Sets, Visualisation"
SJD,R,10.1101/2022.11.07.515489,NA,0,https://github.com/CHuanSite/SJD,"Structured Joint Decomposiiton (SJD) is a robust R package based on low rank models that provides novel decomposition methods for gene expression datasets that share similar biological progresses",GPL-3.0,"Dimensionality Reduction, Integration, Normalisation, Visualisation"
SkewC,R/Perl/Shell,"10.1016/j.xpro.2022.102038, 10.1101/2019.12.31.890269","2023-03, NA",1,https://github.com/LSBDT/SkewC,"SkewC a novel quality-assessment method to identify poor quality single-cells in scRNA-seq experiments",MIT,"Quality Control"
slalom,R/Python,"10.1101/087775, 10.1186/s13059-017-1334-8","NA, 2017-11-07",100,https://github.com/bioFAM/slalom,"slalom is a scalable modelling framework for single-cell RNA-seq data that uses gene set annotations to dissect single-cell transcriptome heterogeneity.",Apache-2.0,"Dimensionality Reduction, Gene Sets, Variable Genes, Visualisation"
sleepwalk,R,"10.1101/603589, 10.1101/gr.251447.119","NA, 2020-05-19",5,https://github.com/anders-biostat/sleepwalk,"Sleepwalk, a simple but powerful tool that allows the user to interactively explore an embedding",GPL-3.0,"Dimensionality Reduction, Visualisation"
SLICE,R,10.1093/nar/gkw1278,2016-12-19,50,https://research.cchmc.org/pbge/slice.html,"The SLICE (Single Cell Lineage Inference Using Cell Expression Similarity and Entropy) algorithm consists of two major steps: (1) measuring cell differentiation states based on the calculation of single cell entropy (scEntropy) and (2) predicting cell differentiation trajectories by ordering single cells according to their scEntropy-derived differentiation states.",GPL-3.0,Ordering
SLICER,R,"10.1101/047845, 10.1186/s13059-016-0975-3","NA, 2016-05-23",142,https://github.com/jw156605/SLICER,"Selective Locally linear Inference of Cellular Expression Relationships (SLICER) algorithm for inferring cell trajectories.",GPL-2.0,Ordering
SLIDE,R,10.1101/2022.11.25.518001,NA,0,https://github.com/jishnu-lab/SLIDE,"Significant Latent factor Interaction Discovery and Exploration (SLIDE), a first-in-class interpretable machine learning technique for identifying significant interacting latent factors underlying outcomes of interest from high-dimensional omic datasets",MIT,"Dimensionality Reduction, Simulation, Visualisation"
slingshot,R,"10.1101/128843, 10.1186/s12864-018-4772-0","NA, 2018-06-19",1305,https://github.com/kstreet13/slingshot,"Functions for identifying and characterizing continuous developmental trajectories in single-cell sequencing data.",Artistic-2.0,"Dimensionality Reduction, Ordering, Visualisation"
SMAI,R,10.1101/2023.08.03.551836,NA,0,https://github.com/rongstat/SMAI,"Spectral Manifold Alignment and Inference for Alignability Testing and Single-Cell Data Integration",MIT,"Clustering, Dimensionality Reduction, Integration"
SMaSH,Python,"10.1101/2021.04.08.438978, 10.1186/s12859-022-04860-2","NA, 2022-08-08",15,https://gitlab.com/cvejic-group/smash,"The SMaSH (Scalable Marker gene Signal Hunter) framework is a general, scalable codebase for calculating marker genes from single-cell RNA-sequencing",MIT,"Gene Filtering, Marker Genes"
SMGR,R/C,10.1093/nargab/lqac056,2022-07-27,23,https://github.com/QSong-github/SMGR,"A tailored tool for identifying coherent signals across single-cell multi-omics data",MIT,Integration
SMILE,Python,"10.1093/bioinformatics/btab706, 10.1101/2021.01.28.428619","2021-10-08, NA",23,https://github.com/rpmccordlab/SMILE,"SMILE: Mutual Information Learning for Integration of Single Cell Omics Data",'-,Integration
SMNN,R,"10.1093/bib/bbaa097, 10.1101/672261","2020-06-26, NA",11,https://github.com/yycunc/SMNN,"SMNN: Batch Effect Correction for Single-cell RNA-seq data via Supervised Mutual Nearest Neighbor Detection",GPL-3.0,Integration
SMSC,MATLAB,10.1093/bib/bbaa216,2020-10-01,18,,"A spectral clustering method for scRNA-seq",MIT,Clustering
SMURF,Python,"10.1093/bib/bbad026, 10.1101/2022.04.22.489140","2023-01-28, NA",3,https://github.com/deepomicslab/SMURF,"Embedding single-cell RNA-seq data with matrix factorization preserving self-consistency",MIT,"Dimensionality Reduction"
SnapCCESS,Python,10.1101/2023.02.22.529627,NA,0,https://github.com/yulijia/SnapCCESS,"A python package to generate ensemble deep learning of embeddings for clustering multimodal single-cell omics data",'-,"Dimensionality Reduction, Integration"
SNN-Cliq,MATLAB/Python,10.1093/bioinformatics/btv088,2015-02-11,441,http://bioinfo.uncc.edu/SNNCliq/,"SNN-Cliq is a clustering method designed for high dimensional gene expression data, e.g. single-cell transcriptome data.`",'-,Clustering
SoCube,Python,10.1093/bib/bbad104,2023-03-20,3,https://github.com/idrblab/socube,"SoCube is an end-to-end doublet detection tool with novel feature embedding strategy",MIT,"Quality Control"
solo,Python,"10.1016/j.cels.2020.05.010, 10.1101/841981","2020-07, NA",86,https://github.com/calico/Solo,"solo is a neural network framework to classify doublets, so that you can remove them from your data and clean your single cell profile.",MIT,"Quality Control, Visualisation"
SoloTE,Python/Shell,10.1038/s42003-022-04020-5,2022-10-06,4,https://github.com/bvaldebenitom/SoloTE,"For analysis of transposable elements in single-cell RNA-Seq data using locus-specific expression",GPL-3.0,Quantification
SoptSC,MATLAB,"10.1093/nar/gkz204, 10.1101/168922","2019-03-29, NA",106,https://github.com/WangShuxiong/SoptSC,"SoptSC, a computational method for single cell data analysis.",MIT,"Clustering, Dimensionality Reduction, Ordering, Visualisation"
SOUP,R,"10.1073/pnas.1817715116, 10.1101/285056","2018-12-26, NA",63,https://github.com/lingxuez/SOUPR,"SOUP, for Semi-sOft clUstering with Pure cells, is a clustering method for single cell data.",GPL-2.0-or-later,"Clustering, Ordering, Variable Genes, Visualisation"
souporcell,Python/Rust,"10.1038/s41592-020-0820-1, 10.1101/699637","2020-05-04, NA",200,https://github.com/wheaton5/souporcell,"souporcell is a method for clustering mixed-genotype scRNAseq experiments by individual.",MIT,"Clustering, Quality Control, Variants"
SoupX,R,"10.1093/gigascience/giaa151, 10.1101/303727","2020-12-26, NA",481,https://github.com/constantAmateur/SoupX,"An R package for the estimation and removal of cell free mRNA contamination in droplet based single cell RNA-seq data.",GPL-2.0,"Quantification, Visualisation"
SPADE,R,"10.1038/nbt.1991, 10.1038/nprot.2016.066","2011-10-02, 2016-06-16",884,https://github.com/nolanlab/spade,"Visualization and cellular hierarchy inference of single-cell data using SPADE.",GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Marker Genes, Ordering, Visualisation"
SpaOTsc,Python,10.1038/s41467-020-15968-5,2020-04-29,149,https://github.com/zcang/SpaOTsc,"SpaOTsc: spatial optimal transport for single-cell transcriptomics data",MIT,"Clustering, Gene Networks, Integration, Visualisation"
sparca,Python,arxiv/2302.10776,NA,0,https://github.com/Neurology-AI-Program/sparca,"sparse compressed agglomeration for dimensionality reduction and feature selection",MIT,"Dimensionality Reduction, Variable Genes"
SparseDC,R,10.1093/nar/gkx1113,2017-11-13,13,https://github.com/cran/SparseDC,"A sparse differential clustering algorithm for tracing cell type changes via single-cell RNA-sequencing data",GPL-3.0,"Clustering, Marker Genes"
SPARSim,R,10.1093/bioinformatics/btz752,2019-10-09,11,https://gitlab.com/sysbiobig/sparsim,"SPARSim is a single cell RNA-seq (scRNA-seq) count data simulator",GPL-3.0,Simulation
SPaRTAN,Python/C,"10.1093/nar/gkab745, 10.1101/2020.12.22.423961","2021-09-09, NA",9,https://github.com/osmanbeyoglulab/SPaRTAN,"SPaRTAN (Single-cell Proteomic and RNA based Transcription factor Activity Network) ntegrates parallel surface protein measurements with mRNA expression data in cells based on CITE-seqseq data",'-,"Gene Networks"
SpatialScope,Python,10.1101/2023.03.14.532529,NA,1,https://github.com/YangLabHKUST/SpatialScope,"A unified approach for integrating spatial and single-cell transcriptomics data by leveraging deep generative models",GPL-3.0,"Gene Networks, Integration"
SPECK,R,10.1101/2022.10.08.511197,NA,2,https://cran.r-project.org/web/packages/SPECK,"Surface Protein abundance Estimation using CKmeans-based clustered thresholding ('SPECK')",GPL-2.0-or-later,Quantification
speckle,R,"10.1093/bioinformatics/btac582, 10.1101/2021.11.28.470236","2022-08-25, NA",43,https://github.com/phipsonlab/speckle,"The speckle package currently contains functions to analyse differences in cell type proportions in single cell RNA-seq data, and to classify cells as male or female",GPL-3.0,"Classification, Normalisation, Visualisation"
Specter,MATLAB,"10.1101/2020.06.15.151910, 10.1101/gr.267906.120","NA, 2021-02-24",10,https://github.com/canzarlab/Specter,"A novel tool for clustering large-scale single cell RNA-seq and multi-modal data",'-,Clustering
SPECTRA,Python,10.1101/2022.12.20.521311,NA,4,https://github.com/dpeerlab/spectra,"Supervised Pathway DEConvolution of InTerpretable Gene ProgRAms",MIT,"Gene Networks, Gene Sets, Marker Genes, Visualisation"
Spectre,R,"10.1002/cyto.a.24350, 10.1101/2020.10.22.349563","2021-04-26, NA",61,https://github.com/ImmuneDynamics/Spectre,"Spectre is an R package and computational toolkit that enables comprehensive end-to-end integration, exploration, and analysis of high-dimensional cytometry, imaging, or single-cell data from different batches or experiments",MIT,"Classification, Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Immune, Integration, Marker Genes, Normalisation, Ordering, Quality Control, Rare Cells, Stem Cells"
Spectrum,R,"10.1093/bioinformatics/btz704, 10.1101/636639","2019-09-10, NA",35,https://github.com/crj32/Spectrum,"Fast Adaptive Spectral Clustering for Single and Multi-View Data",AGPL-3.0,"Clustering, Visualisation"
Sphetcher,C++,10.1016/j.isci.2020.101126,2020-06,3,https://github.com/canzarlab/Sphetcher,"A software package for sampling massive singe-cell RNA secquencing datasets based on the spherical thresholding algorithm",'-,"Dimensionality Reduction"
splattdr,R,10.1101/2021.09.08.459475,NA,1,https://github.com/zacharewskilab/splattdr,"The splattdr package is a wrapper for Splatter allowing the simulation of dose-response single-cell RNA sequencing data",'-,Simulation
Splatter,R,"10.1101/133173, 10.1101/2021.06.17.448806, 10.1186/s13059-017-1305-0, 10.1186/s13059-021-02546-1","NA, NA, 2017-09-12, 2021-12",553,https://github.com/Oshlack/splatter,"Splatter is a package for the simple simulation of single-cell RNA-seq count data.",GPL-3.0,"Simulation, Visualisation"
spliceJAC,Python,10.15252/msb.202211176,2022-11-02,8,https://github.com/federicobocci/spliceJAC,"spliceJAC is a python-based toolkit to reconstruct cell state-specific gene regulatory networks (GRN) and predict transition driver genes leading to cell differentiation",MIT,"Gene Networks, Visualisation"
SPmarker,Python,"10.1101/2020.11.22.393165, 10.1111/nph.18053","NA, 2022-02-24",10,https://github.com/LiLabAtVT/SPMarker,"SPmarker is a machine learning based approach for identification of marker genes and classification of cells in plant tissues",GPL-3.0,"Marker Genes"
SPRING,Python/MATLAB/Javascript,"10.1093/bioinformatics/btx792, 10.1101/090332","2017-12-07, NA",238,https://github.com/AllonKleinLab/SPRING,"SPRING is a collection of pre-processing scripts and a web browser-based tool for visualizing and interacting with high dimensional data.",'-,"Dimensionality Reduction, Interactive, Visualisation"
SPsimSeq,R,"10.1093/bioinformatics/btaa105, 10.1101/677740","2020-02-17, NA",28,https://github.com/CenterForStatistics-UGent/SPsimSeq,"Semi-parametric simulation of bulk and single cell RNA-seq data",GPL-2.0,Simulation
SR2,R/C/C++,10.1101/2023.07.31.551228,NA,0,https://github.com/kai0511/SR2,"SR2 decomposes variation from multiple biological conditions and cellular variation across bio-samples into shared low-rank latent spaces",GPL-2.0-or-later,"Clustering, Dimensionality Reduction"
SSBER,R,10.1186/s12859-021-04165-w,2021-05-14,3,https://github.com/zy456/SSBER,"SSBER: removing batch effect for single-cell RNA sequencing data",'-,Integration
sscClust,R,"10.1016/j.gpb.2018.10.003, 10.1101/344242","2019-04, NA",28,https://github.com/Japrin/sscClust,"simpler single cell RNAseq data clustering (sscClust), is a package implement mutilple functionalities which are basic procedures in single cell RNAseq data analysis, including variable genes identification, dimension reduction, clustering on reduced data.",GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Variable Genes, Visualisation"
SSrGE,Python,"10.1038/s41467-018-07170-5, 10.1101/095810","2018-11-20, NA",48,https://github.com/lanagarmire/SSrGE,"This procedure aims to fit sparse linear models using a binary matrix (n_samples x n_SNV) as features matrix and a gene expression matrix (n_genes x n_samples) as response.",MIT,"Clustering, Integration, Variants"
StabMap,R,"10.1038/s41587-023-01766-z, 10.1101/2022.02.24.481823","2023-05-25, NA",18,https://github.com/MarioniLab/StabMap,"Mosaic single cell data integration using non-overlapping features",GPL-2.0,"Dimensionality Reduction, Integration, Visualisation"
STACAS,R,"10.1093/bioinformatics/btaa755, 10.1101/2020.06.15.152306, 10.1101/2023.07.07.548105","2020-08-26, NA, NA",24,https://github.com/carmonalab/STACAS,"STACAS is a method for anchor identification, designed to be easily incorporated in Seurat pipelines for batch correction and integration of scRNA-seq datasets",GPL-3.0,Integration
